price,area,height,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,770,54,yes,no,no,no,yes,2,yes,furnished
12250000,8960,677,47,yes,no,no,no,yes,3,no,furnished
12250000,9960,428,28,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,410,38,yes,no,yes,no,yes,3,yes,furnished
11410000,7420,371,29,yes,yes,yes,no,yes,2,no,furnished
10850000,7500,504,38,yes,no,yes,no,yes,2,yes,semi-furnished
10150000,8580,1136,80,yes,no,no,no,yes,2,yes,semi-furnished
10150000,16200,695,52,yes,no,no,no,no,0,no,unfurnished
9870000,8100,551,45,yes,yes,yes,no,yes,2,yes,furnished
9800000,5750,550,40,yes,yes,no,no,yes,1,yes,unfurnished
9800000,13200,568,49,yes,no,yes,no,yes,2,yes,furnished
9681000,6000,504,33,yes,yes,yes,yes,no,2,no,semi-furnished
9310000,6550,560,50,yes,no,no,no,yes,1,yes,semi-furnished
9240000,3500,512,40,yes,no,no,yes,no,2,no,furnished
9240000,7800,448,31,yes,no,no,no,no,0,yes,semi-furnished
9100000,6000,538,40,yes,no,yes,no,no,2,no,semi-furnished
9100000,6600,410,27,yes,yes,yes,no,yes,1,yes,unfurnished
8960000,8500,409,31,yes,no,no,no,yes,2,no,furnished
8890000,4603,505,35,yes,yes,no,no,yes,2,no,furnished
8855000,6420,777,57,yes,no,no,no,yes,1,yes,semi-furnished
8750000,4322,496,31,yes,no,yes,yes,no,2,no,semi-furnished
8680000,7158,387,26,yes,yes,yes,no,yes,2,no,unfurnished
8645000,8054,531,39,yes,yes,yes,no,yes,1,no,furnished
8645000,4560,360,25,yes,yes,yes,no,yes,1,no,furnished
8575000,8800,355,23,yes,no,no,no,yes,2,no,furnished
8540000,6540,1250,102,yes,yes,yes,no,yes,2,yes,furnished
8463000,6000,802,72,yes,yes,yes,no,yes,0,yes,semi-furnished
8400000,8875,741,57,yes,no,no,no,no,1,no,semi-furnished
8400000,7950,739,54,yes,no,yes,yes,no,2,no,unfurnished
8400000,5500,650,56,yes,no,yes,no,yes,1,yes,semi-furnished
8400000,7475,592,45,yes,no,no,no,yes,2,no,unfurnished
8400000,7000,577,42,yes,no,no,no,yes,2,no,semi-furnished
8295000,4880,500,36,yes,no,no,no,yes,1,yes,furnished
8190000,5960,469,30,yes,yes,yes,no,no,1,no,unfurnished
8120000,6840,320,22,yes,yes,yes,no,yes,1,no,furnished
8080940,7000,441,31,yes,no,no,no,yes,2,no,furnished
8043000,7482,845,52,yes,no,no,yes,no,1,yes,furnished
7980000,9000,435,29,yes,no,no,no,yes,2,no,furnished
7962500,6000,435,34,yes,yes,no,no,yes,2,no,unfurnished
7910000,6000,375,20,yes,no,no,no,yes,1,no,semi-furnished
7875000,6550,364,33,yes,no,yes,no,yes,0,yes,furnished
7840000,6360,340,18,yes,no,no,no,yes,0,yes,furnished
7700000,6480,375,23,yes,no,no,no,yes,2,no,unfurnished
7700000,6000,450,30,yes,no,no,no,no,2,no,semi-furnished
7560000,6000,529,38,yes,no,no,no,yes,1,no,furnished
7560000,6001,490,31,yes,no,no,no,yes,0,no,semi-furnished
7525000,6002,728,62,yes,no,no,no,yes,1,no,furnished
7490000,6605,577,48,yes,no,no,no,yes,3,yes,furnished
7455000,4300,498,29,yes,no,yes,no,no,1,no,unfurnished
7420000,7440,493,40,yes,yes,yes,no,yes,0,yes,semi-furnished
7420000,7440,379,30,yes,no,no,no,no,1,yes,unfurnished
7420000,6325,579,42,yes,no,no,no,yes,1,no,unfurnished
7350000,6007,480,36,yes,yes,no,no,yes,1,no,furnished
7350000,5150,454,33,yes,no,no,no,yes,2,no,semi-furnished
7350000,6000,952,72,yes,yes,no,no,yes,1,no,semi-furnished
7350000,6000,784,57,yes,no,no,no,yes,1,no,unfurnished
7343000,11440,476,34,yes,no,yes,no,no,1,yes,semi-furnished
7245000,9000,453,46,yes,yes,no,no,yes,1,yes,furnished
7210000,7680,440,30,yes,yes,no,no,yes,1,no,semi-furnished
7210000,6000,428,21,yes,yes,no,no,yes,1,no,furnished
7140000,6000,410,27,yes,yes,no,no,no,1,no,semi-furnished
7070000,8880,409,31,yes,no,no,no,yes,1,no,semi-furnished
7070000,6240,504,35,yes,no,no,no,yes,1,no,furnished
7035000,6360,777,57,yes,no,no,no,yes,2,yes,furnished
7000000,11175,496,31,yes,no,yes,no,yes,1,yes,furnished
6930000,8880,386,26,yes,no,yes,no,yes,1,no,furnished
6930000,13200,530,39,yes,no,yes,yes,no,1,no,furnished
6895000,7700,360,25,yes,no,no,no,no,2,no,unfurnished
6860000,6000,355,23,yes,no,no,no,yes,1,no,furnished
6790000,12090,1250,102,yes,no,no,no,no,2,yes,furnished
6790000,4000,802,72,yes,no,yes,no,yes,0,yes,semi-furnished
6755000,6000,741,57,yes,no,no,no,yes,0,no,unfurnished
6720000,5020,739,54,yes,no,no,no,yes,0,yes,unfurnished
6685000,6600,650,56,yes,no,yes,no,no,0,yes,furnished
6650000,4040,592,45,yes,no,yes,yes,no,1,no,furnished
6650000,4260,577,42,yes,no,no,yes,no,0,no,semi-furnished
6650000,6420,500,36,yes,no,no,no,yes,0,yes,furnished
6650000,6500,469,30,yes,no,no,no,yes,0,yes,furnished
6650000,5700,320,22,yes,yes,yes,no,yes,2,yes,furnished
6650000,6000,441,31,yes,yes,no,no,yes,0,no,furnished
6629000,6000,845,52,yes,no,no,yes,no,1,yes,semi-furnished
6615000,4000,435,29,yes,no,yes,no,yes,1,no,semi-furnished
6615000,10500,435,34,yes,no,yes,no,yes,1,yes,furnished
6580000,6004,376,20,yes,no,no,no,yes,0,no,semi-furnished
6510000,3762,365,33,yes,no,no,yes,no,2,no,semi-furnished
6510000,8253,341,18,yes,no,no,no,yes,0,no,furnished
6510000,6675,377,23,yes,no,yes,no,no,0,yes,unfurnished
6475000,3964,452,30,yes,no,yes,no,no,2,no,semi-furnished
6475000,7410,529,38,yes,yes,yes,no,yes,2,yes,unfurnished
6440000,8580,412,31,yes,no,no,no,no,2,no,furnished
6440000,5000,722,62,yes,no,no,no,yes,0,no,semi-furnished
6419000,6750,574,48,yes,yes,yes,no,no,2,yes,furnished
6405000,4800,1136,80,yes,yes,no,no,yes,0,no,furnished
6300000,7200,695,52,yes,no,yes,no,yes,3,no,semi-furnished
6300000,6000,551,45,yes,no,no,no,no,1,no,semi-furnished
6300000,4100,550,40,yes,no,no,no,yes,2,no,semi-furnished
6300000,9000,568,49,yes,no,yes,no,no,1,yes,furnished
6300000,6400,504,33,yes,yes,yes,no,yes,1,yes,semi-furnished
6293000,6600,560,50,yes,no,no,no,yes,0,yes,unfurnished
6265000,6000,512,40,yes,yes,yes,no,no,0,yes,unfurnished
6230000,6600,448,31,yes,no,yes,no,yes,0,yes,unfurnished
6230000,5502,539,40,yes,no,no,no,no,1,yes,unfurnished
6195000,5504,411,27,yes,yes,no,no,yes,1,no,semi-furnished
6195000,6350,409,31,yes,yes,no,no,yes,0,no,furnished
6195000,5500,504,35,yes,yes,yes,no,no,2,yes,furnished
6160000,4500,777,57,yes,no,no,no,yes,0,no,unfurnished
6160000,5450,496,31,yes,no,yes,no,yes,0,yes,semi-furnished
6125000,6420,386,26,yes,no,yes,no,no,0,yes,unfurnished
6107500,3240,530,39,yes,no,no,no,no,1,no,semi-furnished
6090000,6615,360,25,yes,yes,no,yes,no,1,no,semi-furnished
6090000,6600,355,23,yes,yes,yes,no,no,2,yes,semi-furnished
6090000,8372,1250,102,yes,no,no,no,yes,2,no,unfurnished
6083000,4300,770,54,yes,no,no,no,no,0,no,furnished
6083000,9620,677,47,yes,no,yes,no,no,2,yes,furnished
6020000,6800,428,28,yes,yes,yes,no,no,2,no,furnished
6020000,8000,410,38,yes,yes,yes,no,yes,2,yes,semi-furnished
6020000,6900,371,29,yes,yes,yes,no,no,0,yes,unfurnished
5950000,3700,504,38,yes,yes,no,no,yes,0,no,furnished
5950000,6420,1136,80,yes,no,yes,no,yes,0,yes,furnished
5950000,7020,695,52,yes,no,yes,no,yes,2,yes,semi-furnished
5950000,6540,551,45,yes,yes,yes,no,no,2,yes,furnished
5950000,7231,550,40,yes,yes,yes,no,yes,0,yes,semi-furnished
5950000,6254,568,49,yes,no,yes,no,no,1,yes,semi-furnished
5950000,7320,504,33,yes,no,no,no,no,0,no,furnished
5950000,6525,560,50,yes,no,no,no,no,1,no,furnished
5943000,15600,512,40,yes,no,no,no,yes,2,no,semi-furnished
5880000,7160,448,31,yes,no,yes,no,no,2,yes,unfurnished
5880000,6500,538,40,yes,no,no,no,yes,0,no,unfurnished
5873000,5500,410,27,yes,yes,no,no,yes,1,no,furnished
5873000,11460,409,31,yes,no,no,no,no,2,yes,semi-furnished
5866000,4800,504,35,yes,yes,yes,no,no,0,no,unfurnished
5810000,5828,777,57,yes,yes,no,no,no,0,no,semi-furnished
5810000,5200,496,31,yes,no,no,no,yes,0,no,semi-furnished
5810000,4800,386,26,yes,no,no,no,yes,0,no,unfurnished
5803000,7000,530,39,yes,no,yes,no,no,2,yes,semi-furnished
5775000,6000,360,25,yes,no,no,no,yes,0,no,unfurnished
5740000,5403,357,23,yes,no,no,no,yes,2,no,unfurnished
5740000,4640,1250,102,yes,no,no,no,no,1,no,semi-furnished
5740000,5000,802,72,yes,no,no,no,yes,0,no,semi-furnished
5740000,6360,741,57,yes,yes,yes,no,yes,2,yes,furnished
5740000,5800,739,54,yes,no,no,no,yes,0,no,unfurnished
5652500,6660,650,56,yes,yes,yes,no,no,1,yes,semi-furnished
5600000,10500,592,45,yes,no,no,no,no,1,no,semi-furnished
5600000,4800,577,42,no,no,yes,yes,no,0,no,unfurnished
5600000,4700,500,36,yes,yes,yes,no,yes,1,no,furnished
5600000,5000,770,54,yes,no,no,no,no,0,no,furnished
5600000,10500,677,47,yes,no,no,no,no,1,no,semi-furnished
5600000,5511,436,28,yes,no,no,no,no,1,no,semi-furnished
5600000,6360,410,38,yes,no,no,no,no,0,yes,semi-furnished
5600000,6600,371,29,yes,no,yes,no,no,0,yes,semi-furnished
5600000,5136,504,38,yes,yes,yes,no,yes,0,yes,unfurnished
5565000,4400,1136,80,yes,no,no,no,yes,2,yes,semi-furnished
5565000,5400,695,52,yes,yes,yes,no,yes,0,yes,furnished
5530000,3300,551,45,yes,no,yes,no,no,0,no,semi-furnished
5530000,3650,550,40,yes,no,no,no,no,2,no,semi-furnished
5530000,6100,568,49,yes,no,yes,no,no,2,yes,furnished
5523000,6900,504,33,yes,yes,yes,no,no,0,yes,semi-furnished
5495000,2817,560,50,no,yes,yes,no,no,1,no,furnished
5495000,7980,512,40,yes,no,no,no,no,2,no,semi-furnished
5460000,3150,448,31,yes,yes,yes,no,yes,0,no,furnished
5460000,6211,539,40,yes,yes,no,no,yes,0,no,furnished
5460000,6125,430,27,yes,yes,no,no,yes,0,yes,semi-furnished
5460000,6600,409,31,yes,yes,yes,no,no,0,yes,semi-furnished
5425000,6825,504,35,yes,yes,yes,no,yes,0,yes,semi-furnished
5390000,6710,777,57,yes,yes,yes,no,no,1,yes,furnished
5383000,6450,496,31,yes,yes,yes,yes,no,0,no,unfurnished
5320000,7810,388,26,yes,no,yes,no,yes,2,yes,unfurnished
5285000,4610,534,39,yes,no,no,no,yes,2,no,semi-furnished
5250000,4260,360,25,yes,no,yes,no,yes,0,no,furnished
5250000,6540,355,23,no,no,no,no,yes,0,no,semi-furnished
5250000,5500,1250,102,yes,no,yes,no,no,0,no,semi-furnished
5250000,10269,802,72,yes,no,no,no,no,1,yes,semi-furnished
5250000,8400,741,57,yes,yes,yes,no,yes,2,yes,unfurnished
5250000,5300,739,54,yes,no,no,no,yes,0,yes,unfurnished
5250000,3800,650,56,yes,yes,yes,no,no,1,yes,unfurnished
5250000,9800,592,45,yes,yes,no,no,no,2,no,semi-furnished
5250000,8520,577,42,yes,no,no,no,yes,2,no,furnished
5243000,6050,500,36,yes,no,yes,no,no,0,yes,semi-furnished
5229000,7085,1136,80,yes,yes,yes,no,no,2,yes,semi-furnished
5215000,3180,695,52,yes,no,no,no,no,2,no,semi-furnished
5215000,4500,551,45,no,no,yes,no,yes,2,no,semi-furnished
5215000,7200,550,40,yes,yes,yes,no,no,1,yes,furnished
5145000,3410,568,49,no,no,no,no,yes,0,no,semi-furnished
5145000,7980,504,33,yes,no,no,no,no,1,yes,semi-furnished
5110000,3000,560,50,yes,yes,yes,no,no,0,no,furnished
5110000,3000,512,40,yes,no,yes,no,no,0,no,unfurnished
5110000,11410,448,31,yes,no,no,no,no,0,yes,furnished
5110000,6100,538,40,yes,no,yes,no,yes,0,yes,semi-furnished
5075000,5720,410,27,yes,no,no,no,yes,0,yes,unfurnished
5040000,3540,409,31,no,yes,yes,no,no,0,no,semi-furnished
5040000,7600,504,35,yes,no,no,no,yes,2,no,furnished
5040000,10700,777,57,yes,yes,yes,no,no,0,no,semi-furnished
5040000,6600,496,31,yes,yes,yes,no,no,0,yes,furnished
5033000,4800,386,26,yes,yes,yes,no,no,0,no,semi-furnished
5005000,8150,530,39,yes,yes,yes,no,no,0,no,semi-furnished
4970000,4410,360,25,yes,no,yes,no,no,2,no,semi-furnished
4970000,7686,355,23,yes,yes,yes,yes,no,0,no,semi-furnished
4956000,2800,1250,102,no,no,yes,no,yes,1,no,semi-furnished
4935000,5948,770,54,yes,no,no,no,yes,0,no,semi-furnished
4907000,4200,677,47,yes,no,no,no,no,1,no,furnished
4900000,4520,428,28,yes,no,yes,no,yes,0,no,semi-furnished
4900000,4095,410,38,no,yes,yes,no,yes,0,no,semi-furnished
4900000,4120,371,29,yes,no,yes,no,no,1,no,semi-furnished
4900000,5400,504,38,yes,no,no,no,no,0,no,semi-furnished
4900000,4770,1136,80,yes,yes,yes,no,no,0,no,semi-furnished
4900000,6300,695,52,yes,no,no,no,yes,2,no,semi-furnished
4900000,5800,551,45,yes,yes,yes,no,yes,0,no,semi-furnished
4900000,3000,550,40,yes,no,yes,no,yes,0,no,semi-furnished
4900000,2970,568,49,yes,no,no,no,no,0,no,semi-furnished
4900000,6720,504,33,yes,no,no,no,no,0,no,unfurnished
4900000,4646,560,50,yes,yes,yes,no,no,2,no,semi-furnished
4900000,12900,512,40,yes,no,no,no,no,2,no,furnished
4893000,3420,448,31,yes,no,yes,no,yes,2,no,semi-furnished
4893000,4995,538,40,yes,no,yes,no,no,0,no,semi-furnished
4865000,4350,410,27,yes,no,yes,no,no,0,no,unfurnished
4830000,4160,409,31,yes,no,no,no,no,0,no,unfurnished
4830000,6040,504,35,yes,no,no,no,no,2,yes,semi-furnished
4830000,6862,777,57,yes,no,no,no,yes,2,yes,furnished
4830000,4815,496,31,yes,no,no,no,yes,0,yes,semi-furnished
4795000,7000,386,26,yes,no,yes,no,no,0,no,unfurnished
4795000,8100,530,39,yes,no,yes,no,yes,2,no,semi-furnished
4767000,3420,360,25,yes,no,no,no,no,0,no,semi-furnished
4760000,9166,355,23,yes,no,yes,no,yes,2,no,semi-furnished
4760000,6321,1250,102,yes,no,yes,no,yes,1,no,furnished
4760000,10240,802,72,yes,no,no,no,yes,2,yes,unfurnished
4753000,6440,741,57,yes,no,no,no,yes,3,no,semi-furnished
4690000,5170,739,54,yes,no,no,no,yes,0,no,semi-furnished
4690000,6000,650,56,yes,no,yes,no,yes,1,no,furnished
4690000,3630,592,45,yes,no,no,no,no,2,no,semi-furnished
4690000,9667,577,42,yes,yes,yes,no,no,1,no,semi-furnished
4690000,5400,500,36,yes,no,no,no,no,0,yes,semi-furnished
4690000,4320,770,54,yes,no,no,no,no,0,yes,semi-furnished
4655000,3745,677,47,yes,no,yes,no,no,0,no,furnished
4620000,4160,428,28,yes,yes,yes,no,yes,0,no,unfurnished
4620000,3880,410,38,yes,no,yes,no,no,2,no,semi-furnished
4620000,5680,371,29,yes,yes,no,no,yes,1,no,semi-furnished
4620000,2870,504,38,yes,yes,yes,no,no,0,yes,semi-furnished
4620000,5010,1136,80,yes,no,yes,no,no,0,no,semi-furnished
4613000,4510,695,52,yes,no,yes,no,no,0,no,semi-furnished
4585000,4000,551,45,yes,no,no,no,no,1,no,furnished
4585000,3840,550,40,yes,no,no,no,no,1,yes,semi-furnished
4550000,3760,568,49,yes,no,no,no,no,2,no,semi-furnished
4550000,3640,504,33,yes,no,no,no,yes,0,no,furnished
4550000,2550,560,50,yes,no,yes,no,no,0,no,furnished
4550000,5320,512,40,yes,yes,yes,no,no,0,yes,semi-furnished
4550000,5360,448,31,yes,no,no,no,no,2,yes,unfurnished
4550000,3520,538,40,yes,no,no,no,no,0,yes,semi-furnished
4550000,8400,410,27,yes,no,no,no,no,3,no,unfurnished
4543000,4100,409,31,yes,yes,yes,no,no,0,no,semi-furnished
4543000,4990,504,35,yes,yes,yes,no,no,0,yes,furnished
4515000,3510,777,57,yes,no,no,no,no,0,no,semi-furnished
4515000,3450,496,31,yes,no,yes,no,no,1,no,semi-furnished
4515000,9860,386,26,yes,no,no,no,no,0,no,semi-furnished
4515000,3520,530,39,yes,no,no,no,no,0,yes,furnished
4480000,4510,360,25,yes,no,no,no,yes,2,no,semi-furnished
4480000,5885,355,23,yes,no,no,no,yes,1,no,unfurnished
4480000,4000,1250,102,yes,no,no,no,no,2,no,furnished
4480000,8250,802,72,yes,no,no,no,no,0,no,furnished
4480000,4040,741,57,yes,no,no,no,no,1,no,semi-furnished
4473000,6360,739,54,yes,no,yes,no,yes,1,no,furnished
4473000,3162,650,56,yes,no,no,no,yes,1,no,furnished
4473000,3510,592,45,yes,no,no,no,no,0,no,semi-furnished
4445000,3750,577,42,yes,yes,yes,no,no,0,no,semi-furnished
4410000,3968,500,36,no,no,no,no,no,0,no,semi-furnished
4410000,4900,741,57,yes,no,yes,no,no,0,no,semi-furnished
4403000,2880,739,54,yes,no,no,no,no,0,yes,semi-furnished
4403000,4880,741,57,yes,no,no,no,no,2,yes,unfurnished
4403000,4920,739,54,yes,no,no,no,no,1,no,semi-furnished
4382000,4950,741,57,yes,no,no,no,yes,0,no,semi-furnished
